region_id,area_px,area_km2,fill_ratio,bbox_aspect,centroid_row,centroid_col,geo_x,geo_y,dist_from_centre_km,bbox_r0,bbox_c0,bbox_r1,bbox_c1,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,shadow_valid_px,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,m3_b09_750nm,m3_b22_1010nm,m3_b56_1818nm,m3_b61_2018nm,m3_b74_2537nm,m3_b81_2817nm,m3_b84_2936nm,m3_b85_2976nm,m3_valid_px,m3_valid_pct,grail_anom_context,grail_boug_context,qualification_status,disqualification_reason
11901,360.0,0.225,0.5643,1.32,1664.5166666666669,36.59722222222222,-44560.569444444445,3862.583333333336,44.7271,1654,22,1676,51,6.4065,6.3837,28.6506,5.0282,3.4413,-2041.1018,1.0,1.0,0.0,360.0,0.35354,0.316437,0.136894,1.0,1.0,0.060505,0.057751,0.013757,1.0,1.0,0.007097,0.010353,0.00356,0.002354,0.00378,0.004361,8.9e-05,0.001489,360,1.0,35.5577,101.3636,UNCERTAIN,high_slope_variation
11905,192.0,0.12,0.4,1.2,1664.09375,2981.53125,29062.78125,3873.15625,29.3202,1654,2970,1674,2994,6.9503,4.2205,18.0069,5.1692,2.4479,-1808.3848,1.0,0.0815,0.2451,192.0,,,,0.0,0.0,,,,0.0,0.0,0.004141,-0.000928,0.006112,0.001041,0.000974,0.001075,-0.002701,-0.002723,189,0.9844,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11929,345.0,0.215625,0.5111,1.08,1667.7101449275362,1472.5710144927536,-8661.22463768116,3782.746376811592,9.4506,1657,1460,1682,1487,10.8359,4.9149,25.5346,9.6975,4.1151,-964.9002,1.0,0.3831,0.4376,345.0,,,,0.0,0.0,0.189766,0.195829,0.066642,1.0,1.0,0.000543,0.001071,-0.002951,0.000497,0.001527,-0.005279,-0.008158,-0.009774,345,1.0,121.4156,78.1985,UNCERTAIN,high_shadow_variation
11932,1022.0,0.63875,0.4005,1.32,1684.1702544031311,3168.6761252446186,33741.40313111547,3371.2436399217186,33.9099,1660,3140,1704,3198,7.3222,4.7475,23.8625,6.0714,3.6236,-1718.8011,1.0,0.3416,0.4309,1022.0,0.169259,0.159589,0.044299,1.0,1.0,,,,0.0,0.0,0.002259,0.000577,-0.002069,0.000209,0.000983,0.000149,-0.002699,-0.003973,1022,1.0,66.0189,90.6798,UNCERTAIN,high_shadow_variation
11967,497.0,0.310625,0.4733,1.17,1668.199195171026,2960.740442655936,28543.011066398398,3770.520120724352,28.7914,1652,2946,1687,2976,7.4903,4.9165,21.5901,5.7543,3.1991,-1791.4247,1.0,0.1133,0.2892,497.0,,,,0.0,0.0,,,,0.0,0.0,0.002352,0.000748,0.002447,0.00124,0.000591,0.000615,-0.003674,-0.001629,477,0.9598,66.0189,90.6798,UNCERTAIN,no_radar_coverage
11976,354.0,0.22125,0.59,1.5,1673.1242937853108,57.175141242937855,-44046.12146892656,3647.392655367228,44.1963,1663,44,1683,74,7.1463,5.4091,24.64,6.1418,4.4103,-2027.807,1.0,1.0,0.0,354.0,0.370673,0.334263,0.16067,1.0,1.0,0.055703,0.04817,0.019347,1.0,1.0,0.006164,0.006901,0.002715,-0.000806,0.00482,0.006193,-0.003364,-0.0011,354,1.0,35.5577,101.3636,UNCERTAIN,high_slope_variation
12011,1689.0,1.055625,0.5675,1.29,1662.1432800473654,2916.5038484310244,27437.09621077561,3921.917998815865,27.7164,1630,2894,1692,2942,5.6246,3.1172,19.522,4.474,1.7809,-1830.56,1.0,0.1339,0.307,1689.0,,,,0.0,0.0,0.056403,0.056403,0.006574,0.001184,0.001184,0.001738,0.003941,0.0012,0.001647,0.001335,-0.001571,-0.003789,-0.005028,1666,0.9864,66.0189,90.6798,UNCERTAIN,no_radar_coverage
12035,1922.0,1.20125,0.509,1.08,1667.809053069719,3263.3735691987517,36108.839229968784,3780.2736732570193,36.3066,1637,3233,1701,3292,11.8043,3.6908,26.6004,10.3157,2.6403,-1344.2916,1.0,0.3125,0.4277,1922.0,0.211552,0.182704,0.122525,0.770552,0.770552,,,,0.0,0.0,0.005311,0.006273,0.007435,0.006922,0.010187,0.010272,0.006736,0.005162,1922,1.0,63.3495,86.7715,UNCERTAIN,high_shadow_variation
12045,505.0,0.315625,0.5636,1.14,1682.5821782178218,1492.7287128712871,-8157.282178217822,3410.945544554452,8.8411,1668,1478,1700,1506,10.4178,3.7825,22.0936,9.1577,2.7182,-895.5469,1.0,0.1902,0.3561,505.0,,,,0.0,0.0,0.118582,0.113872,0.04255,1.0,1.0,0.000311,-0.000393,0.000184,0.001507,0.005353,-0.001428,0.000312,-0.000609,505,1.0,121.4156,78.1985,UNCERTAIN,high_shadow_variation
12073,134.0,0.08375,0.5255,1.13,1688.2686567164178,3486.507462686567,41687.18656716417,3268.783582089556,41.8156,1680,3481,1697,3496,9.4364,2.8386,17.7719,8.6272,1.8318,-1052.5263,1.0,0.2654,0.3676,134.0,0.228787,0.217289,0.042694,1.0,1.0,,,,0.0,0.0,0.003913,0.004787,0.003015,-0.000756,-0.002373,0.003058,-0.004261,0.016793,134,1.0,63.3495,86.7715,UNCERTAIN,high_shadow_variation
