region_id,geo_x,geo_y,area_km2,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,dfsar_valid,dfsar_cpr_class,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,minirf_valid,radar_flag
14485,-40872.471252566735,-4998.832648870637,0.304375,0.273308,0.27104,0.027786,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14498,-43872.08753709199,-5054.767062314539,0.210625,0.388322,0.352145,0.10811,1.0,1.0,True,normal_low,0.009638,0.00937,0.00135,1.0,1.0,True,BOTH
14524,39803.26106194689,-5235.451327433628,0.14125,0.086646,0.0857,0.029027,1.0,1.0,True,normal_low,0.035839,0.036567,0.004338,1.0,1.0,True,BOTH
14533,-41875.29674796748,-5291.674796747968,0.15375,0.24568,0.240973,0.044396,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14553,7084.675879396978,-5211.057788944723,0.24875,,,,0.0,0.0,False,no_data,0.411363,0.234291,0.44624,1.0,1.0,True,S1_ONLY
14567,43229.65625,-5339.8125,0.1,0.177509,0.162279,0.047953,1.0,1.0,True,normal_low,0.071255,0.069503,0.012622,1.0,1.0,True,BOTH
14628,-40307.7899505766,-5392.292421746293,0.379375,0.312194,0.30647,0.046784,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14665,-26826.74223602485,-5876.208074534159,0.100625,,,,0.0,0.0,False,no_data,0.035242,0.034154,0.005264,1.0,1.0,True,S1_ONLY
14668,25614.989566613163,-5925.503210272873,0.389375,0.461502,0.435786,0.128463,1.0,1.0,True,normal_low,0.043136,0.040457,0.011587,1.0,1.0,True,BOTH
14679,7113.039042821161,-5868.3287153652345,0.248125,,,,0.0,0.0,False,no_data,0.026495,0.026178,0.006457,1.0,1.0,True,S1_ONLY
14692,39241.6974522293,-5685.168789808915,0.098125,0.087403,0.049707,0.063226,1.0,1.0,True,normal_low,0.051198,0.051649,0.013726,1.0,1.0,True,BOTH
14707,7892.808080808085,-6084.8535353535335,0.2475,,,,0.0,0.0,False,no_data,0.022891,0.021896,0.005558,1.0,1.0,True,S1_ONLY
14711,-40667.44078947369,-5683.54605263158,0.285,0.278987,0.274921,0.043486,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14720,26213.329787234048,-5796.973404255325,0.1175,0.400854,0.378242,0.13563,1.0,1.0,True,normal_low,0.036194,0.033641,0.006962,1.0,1.0,True,BOTH
14732,-41802.89463601533,-5915.879310344826,0.163125,0.279049,0.278593,0.053105,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14734,-26203.432960893857,-6021.194599627561,0.335625,,,,0.0,0.0,False,no_data,0.035945,0.032653,0.010828,1.0,1.0,True,S1_ONLY
14742,-43027.06555772994,-5786.82876712329,0.319375,0.277755,0.278919,0.073225,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14750,-41129.47923875433,-5889.119377162628,0.180625,0.259753,0.257912,0.040881,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14756,-25222.429824561405,-6040.508771929817,0.21375,,,,0.0,0.0,False,no_data,0.051716,0.049127,0.012998,1.0,1.0,True,S1_ONLY
14769,-26596.79981024668,-6299.025616698295,0.329375,,,,0.0,0.0,False,no_data,0.030078,0.029968,0.003897,1.0,1.0,True,S1_ONLY
14783,35449.06896551725,-6095.728448275862,0.29,0.205097,0.205165,0.040946,1.0,1.0,True,normal_low,0.043941,0.042697,0.006207,1.0,1.0,True,BOTH
14803,-42512.22566371682,-6140.982300884956,0.14125,0.178027,0.174242,0.044062,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14805,7442.8441558441555,-6196.058441558445,0.48125,,,,0.0,0.0,False,no_data,0.021582,0.021174,0.004239,1.0,1.0,True,S1_ONLY
14810,36345.29831932773,-6083.113445378149,0.14875,0.201136,0.19948,0.034947,1.0,1.0,True,normal_low,0.053371,0.052076,0.008909,1.0,1.0,True,BOTH
14820,23467.4469273743,-5883.159217877095,0.67125,0.42729,0.39196,0.154875,1.0,1.0,True,normal_low,0.076069,0.072666,0.047841,1.0,1.0,True,BOTH
14829,27956.203910614524,-6173.848230912474,0.335625,0.255652,0.255915,0.052354,1.0,1.0,True,normal_low,0.045331,0.042924,0.010808,1.0,1.0,True,BOTH
14837,8236.764150943396,-6357.518867924533,0.1325,,,,0.0,0.0,False,no_data,0.018551,0.017689,0.003333,1.0,1.0,True,S1_ONLY
14846,-2751.0395683453244,-6217.485611510791,0.086875,,,,0.0,0.0,False,no_data,0.127757,0.129689,0.021715,1.0,1.0,True,S1_ONLY
14848,40670.60481586402,-6271.950424929186,0.220625,0.163984,0.16397,0.024446,1.0,1.0,True,normal_low,0.076488,0.069255,0.024948,1.0,1.0,True,BOTH
14873,35013.25,-6734.321428571435,0.2625,0.183982,0.178267,0.048604,1.0,1.0,True,normal_low,0.044202,0.041797,0.007789,1.0,1.0,True,BOTH
14886,-41267.04761904762,-6342.53571428571,0.2625,0.275717,0.256148,0.092068,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14891,26645.506224066383,-6140.699861687412,0.90375,0.349932,0.326508,0.130129,1.0,1.0,True,normal_low,0.044531,0.041506,0.01173,1.0,1.0,True,BOTH
14895,-25089.5120967742,-6473.189516129038,0.31,,,,0.0,0.0,False,no_data,0.047352,0.045843,0.012027,1.0,1.0,True,S1_ONLY
14906,10147.267857142857,-6792.915178571435,0.28,,,,0.0,0.0,False,no_data,0.019049,0.018873,0.004165,1.0,1.0,True,S1_ONLY
14910,-42661.57382550336,-6392.117449664431,0.093125,0.171095,0.174027,0.039812,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
14933,8057.631313131307,-6783.641414141413,0.309375,,,,0.0,0.0,False,no_data,0.018258,0.018031,0.003783,1.0,1.0,True,S1_ONLY
14946,-43419.87400950872,-6408.354992076071,0.78875,0.252089,0.246656,0.043961,1.0,1.0,True,normal_low,0.007857,0.007707,0.001147,0.561807,0.561807,True,BOTH
14960,-42937.330357142855,-6843.409438775503,0.49,0.244993,0.243172,0.044864,1.0,1.0,True,normal_low,0.007935,0.007852,0.001032,0.173469,0.173469,True,BOTH
14980,40348.838790932,-6706.710327455912,0.49625,0.215918,0.209572,0.051022,1.0,1.0,True,normal_low,0.082591,0.079413,0.017126,1.0,1.0,True,BOTH
14992,41810.91618497109,-6677.96820809249,0.108125,0.304975,0.304189,0.062329,1.0,1.0,True,normal_low,0.053167,0.05308,0.005304,1.0,1.0,True,BOTH
15008,9844.113259668506,-6876.571823204416,0.113125,,,,0.0,0.0,False,no_data,0.016353,0.016524,0.003006,1.0,1.0,True,S1_ONLY
15010,-40574.759259259255,-6795.2407407407445,0.084375,0.305157,0.30201,0.053771,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
15015,35754.91958041958,-6962.012487512489,0.625625,0.200401,0.19556,0.038738,1.0,1.0,True,normal_low,0.041401,0.039856,0.008447,1.0,1.0,True,BOTH
15056,27516.547377326555,-6835.096446700503,0.73875,0.317148,0.310659,0.088735,1.0,1.0,True,normal_low,0.055956,0.053492,0.018138,1.0,1.0,True,BOTH
15082,-42023.9297108674,-7097.206879361918,0.626875,0.260012,0.230366,0.100017,1.0,1.0,True,normal_low,,,,0.0,0.0,False,CPR_ONLY
15104,32622.54964539007,-7040.634751773054,0.088125,0.292437,0.287566,0.052721,1.0,1.0,True,normal_low,0.032775,0.032501,0.003499,1.0,1.0,True,BOTH
15107,-44645.333333333336,-7177.666666666664,0.09375,0.446849,0.391997,0.139224,1.0,1.0,True,normal_low,0.009245,0.008623,0.001823,1.0,1.0,True,BOTH
15118,34453.05922551252,-6754.625284738038,0.54875,0.215717,0.211009,0.035941,0.682232,0.682232,True,normal_low,0.051867,0.0449,0.019883,1.0,1.0,True,BOTH
15119,41511.66577540107,-6943.350267379683,0.116875,0.247959,0.227445,0.05661,1.0,1.0,True,normal_low,0.050738,0.051933,0.007522,1.0,1.0,True,BOTH
15141,-43689.32521489971,-7146.849570200575,0.218125,0.289601,0.263178,0.091598,1.0,1.0,True,normal_low,0.009572,0.008972,0.002727,1.0,1.0,True,BOTH
15206,7057.950704225354,-7406.3661971831025,0.08875,,,,0.0,0.0,False,no_data,0.013535,0.014146,0.001657,1.0,1.0,True,S1_ONLY
