region_id,area_km2,geo_x,geo_y,m3_valid_pct,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,BD1000_norm,BD2000_norm,OH_SPECTRAL_INDICATOR_norm,ICE_SPECTRAL_INDICATOR_norm,n_valid_m3_indices,Science_Score
8771,0.3,14156.635416666664,11465.604166666672,1.0,0.030241,0.048099,0.24274,0.144503,0.00212,0.006816,0.024727,0.006509,4,0.010247
8797,0.150625,41074.08506224067,11383.798755186726,1.0,,1.61686,3.310629,,,0.229122,0.337238,,2,0.130134
8804,0.13125,-20488.95238095238,11451.928571428572,1.0,,-0.577166,1.071951,,,0.0,0.109195,,2,0.027299
8822,0.10375,15510.343373493984,11511.192771084336,1.0,,,,,,,,,0,0.0
8826,0.154375,-41806.77530364373,11371.653846153844,1.0,,,1.100656,8.535872,,,0.112119,0.384518,2,0.162611
8842,0.10625,21372.588235294126,11408.147058823532,1.0,-0.534342,0.090026,0.255945,0.217265,0.0,0.012757,0.026072,0.009787,4,0.012495
8871,0.4,24892.703125,11361.0859375,1.0,-0.077868,0.010133,0.015325,0.135735,0.0,0.001436,0.001561,0.006114,4,0.002817
8904,0.2825,-1469.194690265489,11301.219026548672,1.0,0.435045,0.498165,0.64445,,0.030503,0.070594,0.065647,,3,0.036631
8906,0.194375,12963.808681672024,11339.48713826367,1.0,-0.061122,-0.133057,0.147813,0.026402,0.0,0.0,0.015057,0.001189,4,0.00418
8908,0.345,18030.297101449272,11123.416666666672,1.0,0.032133,0.11781,-0.212681,1.316404,0.002253,0.016695,0.0,0.0593,4,0.024545
8929,0.8075,5144.817337461303,10898.700464396286,1.0,-0.198135,-0.072878,0.197836,0.279985,0.0,0.0,0.020153,0.012613,4,0.009453
8933,0.3175,21052.00984251968,11038.688976377956,1.0,-0.366509,0.276451,-0.279804,0.952515,0.0,0.039175,0.0,0.042908,4,0.022853
8941,0.570625,-8025.089266155534,11065.532858707556,1.0,0.534909,0.623413,0.740346,,0.037505,0.088343,0.075416,,3,0.044024
8945,0.159375,38964.009803921566,11120.69607843137,1.0,,1.564345,,,,0.22168,,,1,0.044336
8961,1.469375,19862.994257762657,11708.549766056996,1.0,-2.475741,0.077264,2.439005,,0.0,0.010949,0.24845,,3,0.064302
8971,0.391875,18910.70414673046,11039.21610845295,1.0,0.257974,0.416029,-0.268892,-2.204107,0.018088,0.058955,0.0,0.0,4,0.015409
8972,0.525625,19664.45243757432,10868.098097502974,1.0,-1.491679,-0.647059,,,0.0,0.0,,,2,0.0
8991,0.30625,-10222.336734693876,11132.744897959186,1.0,1.037208,1.154305,9.81689,,0.072723,0.163574,1.0,,3,0.297259
8995,0.18125,27264.75862068965,11008.948275862072,1.0,-0.218071,0.464749,0.398449,1.614261,0.0,0.065859,0.040588,0.072718,4,0.04877
9004,0.186875,-20397.65719063545,11015.55016722408,1.0,,-1.148103,2.919207,-0.319347,,0.0,0.297366,0.0,3,0.074342
9014,0.0875,22976.46428571429,11026.392857142857,1.0,-0.259424,0.317137,-0.078622,-0.487437,0.0,0.044941,0.0,0.0,4,0.008988
9018,0.3125,-23027.4,11055.700000000004,1.0,,-0.28905,1.927475,,,0.0,0.196343,,2,0.049086
9035,0.349375,21666.04740608229,10971.609123434704,1.0,-0.576087,0.248746,-0.031573,0.607184,0.0,0.035249,0.0,0.027352,4,0.016623
9036,0.89875,21839.22531293462,11514.877607788592,1.0,,0.666807,,,,0.094492,,,1,0.018898
9053,0.125625,42814.30099502487,11031.967661691546,1.0,,,1.291725,,,,0.131582,,1,0.032896
