region_id,area_km2,geo_x,geo_y,shadow_fraction,shadow_std,shadow_valid_px
129,0.003125,10749.5,43875.5,0.0,0.0,5.0
130,0.00375,-9179.666666666672,43854.666666666664,0.0,0.0,6.0
131,0.00375,-1196.3333333333285,43846.333333333336,0.4933,0.4253,6.0
132,2.4125,912.4857512953386,43998.23316062176,0.0,0.0,3815.0
133,0.001875,-10633.833333333328,43833.833333333336,0.7467,0.3717,3.0
134,0.001875,-7617.1666666666715,43817.166666666664,0.64,0.3175,3.0
135,0.225,-6067.930555555555,43695.84722222222,1.0,0.0,360.0
136,0.001875,-642.1666666666715,43833.833333333336,0.36,0.5231,3.0
137,0.000625,-400.5,43825.5,0.0,,1.0
138,0.000625,-175.5,43825.5,0.0,,1.0
139,1.185,9965.520569620254,44024.98575949367,0.0256,0.1396,1795.0
140,0.000625,-8975.5,43775.5,0.0,,1.0
141,0.005625,-8622.722222222226,43758.833333333336,0.92,0.199,9.0
142,0.0025,-11513.0,43738.0,0.81,0.1474,4.0
143,0.0075,-9679.666666666672,43752.583333333336,0.0,0.0,12.0
144,0.005625,-7428.277777777774,43733.833333333336,0.8222,0.3395,9.0
145,0.011875,6533.710526315794,43797.86842105263,0.0,0.0,19.0
146,0.000625,8749.5,43750.5,1.0,,1.0
147,0.01125,-1710.2222222222263,43772.72222222222,1.0,0.0,18.0
148,0.358125,-865.5523560209404,43598.36212914485,0.0861,0.2485,573.0
149,1.07375,4286.214202561117,43557.95052386496,0.0397,0.1599,1718.0
150,0.05375,4905.604651162794,43748.46511627907,0.0521,0.1692,86.0
151,0.003125,-2175.5,43700.5,1.0,0.0,5.0
152,0.0025,4199.5,43694.25,0.0,0.0,4.0
153,0.000625,12024.5,43700.5,0.0,,1.0
154,0.003125,-6675.5,43675.5,1.0,0.0,5.0
155,1.4475,-5191.626943005176,43802.4969775475,1.0,0.0,2308.0
156,0.00375,-4829.6666666666715,43671.333333333336,1.0,0.0,6.0
157,0.00375,5745.333333333336,43671.333333333336,0.0,0.0,6.0
158,0.003125,7049.5,43675.5,0.0,0.0,5.0
159,2.508125,-9521.14540244206,43698.91141290805,0.0379,0.1773,3964.0
160,0.01,-2666.125,43634.875,1.0,0.0,16.0
161,0.00625,9612.0,43675.5,0.0,0.0,10.0
162,0.004375,-8200.5,43625.5,1.0,0.0,7.0
163,0.00375,6145.333333333336,43621.333333333336,0.0,0.0,6.0
164,0.0075,6851.583333333336,43671.333333333336,0.0,0.0,12.0
165,0.01375,7439.272727272728,43613.0,0.0709,0.2138,22.0
166,0.003125,7999.5,43600.5,0.64,0.3085,5.0
167,2.5775,11768.25,43357.222841901064,0.0543,0.218,3948.0
168,0.010625,-7790.205882352937,43549.029411764706,0.4424,0.4484,17.0
169,0.138125,-5700.386877828052,43399.93438914027,1.0,0.0,221.0
170,0.003125,9049.5,43550.5,0.736,0.3539,5.0
171,0.005,-4550.5,43538.0,1.0,0.0,8.0
172,0.001875,8782.833333333336,43533.833333333336,1.0,0.0,3.0
173,0.003125,-11575.5,43500.5,0.0,0.0,5.0
174,0.000625,-6150.5,43500.5,1.0,,1.0
175,0.00375,-3896.3333333333285,43504.666666666664,1.0,0.0,6.0
176,0.0075,4995.3333333333285,43502.583333333336,0.2833,0.3711,12.0
177,0.000625,11124.5,43500.5,0.0,,1.0
178,0.004375,11574.5,43507.642857142855,0.0,0.0,7.0
179,0.004375,-5125.5,43475.5,1.0,0.0,7.0
180,0.00125,10574.5,43488.0,0.0,0.0,2.0
181,0.00125,-9900.5,43438.0,0.0,0.0,2.0
182,0.011875,-3105.763157894733,43438.65789473684,1.0,0.0,19.0
183,0.0025,174.5,43444.25,0.0,0.0,4.0
184,0.011875,13174.5,43475.5,0.8408,0.3117,13.0
185,0.0025,-13256.75,43425.5,0.33,0.2798,4.0
186,0.001875,-8558.833333333328,43417.166666666664,1.0,0.0,3.0
187,1.15,3205.043478260872,42970.078804347824,0.0027,0.0418,1840.0
188,0.0175,-12064.785714285717,43422.82142857143,0.0,0.0,28.0
189,0.005625,-7436.6111111111095,43417.166666666664,0.8044,0.3133,9.0
190,0.004375,5624.5,43407.642857142855,0.4057,0.4563,7.0
191,0.001875,8124.5,43400.5,0.6,0.5292,3.0
192,0.011875,-6954.447368421053,43346.55263157895,0.3474,0.3915,19.0
193,0.004375,6499.5,43368.357142857145,0.0,0.0,7.0
194,0.000625,7674.5,43375.5,0.0,,1.0
195,5.015625,-4992.437694704051,42440.53426791277,0.6315,0.4718,8025.0
