region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
11301,39176.81060606061,5778.265151515152,0.4125,39.6011,5.3969,3.0728,16.2816,4.4833,2.0696,-1172.6301,1.0,0.0393,0.1644,1.0,0.0,QUALIFIED
11306,-20468.23255813953,5453.625,0.215,21.1817,9.1797,4.6988,24.1711,8.1463,3.9881,-699.6463,1.0,0.0244,0.1448,0.0,1.0,QUALIFIED
11321,34030.67647058822,5594.691176470587,0.2125,34.4879,6.2408,2.5007,15.3465,5.4161,1.4257,-1759.0301,1.0,0.9569,0.1693,1.0,0.0,QUALIFIED
11333,42657.29569892473,5479.71146953405,0.174375,43.0082,6.5432,2.8746,13.239,5.502,1.9276,-1006.4725,1.0,0.0278,0.1436,1.0,0.0,QUALIFIED
11352,-20051.28125,5506.870192307688,0.26,20.7931,11.7485,3.8083,27.4785,10.9069,3.3868,-743.0334,1.0,0.0303,0.1343,0.0,1.0,QUALIFIED
11381,27713.3671875,5798.884232954544,0.88,28.3139,6.6691,3.4558,28.4051,5.4876,2.5322,-1889.7191,1.0,0.1611,0.329,0.489347,0.0,QUALIFIED
11438,28786.377123442813,5405.936013590035,1.10375,29.29,5.9356,3.0612,20.1075,4.7938,2.0575,-1817.9129,1.0,0.1207,0.2782,0.281427,0.0,QUALIFIED
11460,39078.14516129032,5288.080645161288,0.484375,39.4347,7.9402,3.1716,21.2113,6.1771,1.2695,-1139.236,1.0,0.0706,0.2375,1.0,0.0,QUALIFIED
11559,26077.959119496853,4220.363731656187,1.78875,26.4177,6.2162,3.3608,17.7723,5.2193,2.6371,-1836.5901,1.0,0.0304,0.144,0.0,0.20615,QUALIFIED
11634,-4378.313653136531,4484.771217712179,0.33875,6.2669,14.555,3.9723,28.5952,12.8744,2.3719,-693.1665,1.0,0.0582,0.2054,0.0,1.0,QUALIFIED
11661,39721.00383141762,4801.649425287353,0.32625,40.0106,5.8558,2.6636,14.272,4.9349,1.5622,-1160.2841,1.0,0.0536,0.1876,1.0,0.0,QUALIFIED
11778,-42807.27290836653,4248.408366533862,0.156875,43.017,13.5082,2.6209,20.895,12.1491,1.4551,-1842.1589,1.0,0.1066,0.2562,1.0,1.0,QUALIFIED
11833,41171.79381443298,4216.737113402065,0.12125,41.3876,6.483,2.5858,13.6382,5.9054,2.005,-1244.8534,1.0,1.0,0.0,1.0,0.0,QUALIFIED
11869,25596.03196622437,3917.538600723769,0.518125,25.8945,8.7002,4.0586,21.0359,7.574,3.2928,-1811.7391,1.0,0.02,0.1166,0.0,0.310012,QUALIFIED
11881,42394.35049833887,3761.131229235878,0.188125,42.5613,7.9066,3.7368,20.0113,7.4652,3.2351,-983.4847,1.0,0.0016,0.0277,1.0,0.066445,QUALIFIED
11898,31241.050925925927,4023.2430555555534,0.27,31.4995,5.8802,1.8121,10.9214,5.0811,1.0939,-1734.9904,1.0,0.0162,0.0963,1.0,0.0,QUALIFIED
11927,-43723.11513157895,3825.74671052632,0.19,43.8896,5.8519,2.7159,14.4665,4.9607,1.8786,-2014.8416,1.0,1.0,0.0,1.0,1.0,QUALIFIED
